trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.839,0.135,0.757,1.0,1,0.856,0.154,0.746,1.0,10,1000
2,1.0,1,0.999,0.182,0.619,1.0,1,0.742,0.0,0.731,1.0,10,1000
3,1.0,1,1.0,0.95,0.612,1.0,1,0.052,0.0,0.065,1.0,10,1000
4,1.0,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.191,1.0,10,1000
5,1.0,1,0.809,0.817,0.758,0.0,0,0.0,0.147,0.212,1.0,10,1000
6,1.0,1,1.0,0.987,0.633,1.0,1,0.011,0.0,0.14,1.0,10,1000
7,1.0,1,0.0,1.0,0.07,1.0,1,0.0,1.0,0.075,1.0,10,1000
8,1.0,1,0.081,1.0,0.272,0.0,0,0.0,0.92,0.205,1.0,10,1000
9,1.0,1,0.881,0.006,0.737,1.0,1,0.868,0.005,0.745,1.0,10,1000
10,0.994,0,0.984,0.0,0.895,0.019,0,0.024,0.0,0.022,1.0,10,1000
11,0.909,0,0.895,0.0,0.789,0.0,0,0.0,0.0,0.0,1.0,10,1000
12,0.987,0,0.982,0.0,0.836,0.075,0,0.052,0.0,0.045,1.0,10,1000
13,1.0,1,1.0,0.693,0.484,1.0,1,0.311,0.0,0.156,1.0,10,1000
14,1.0,1,0.477,0.333,0.467,0.0,0,0.0,0.188,0.18,1.0,10,1000
15,1.0,1,0.004,1.0,0.249,1.0,1,0.0,0.995,0.015,1.0,10,1000
16,1.0,1,0.362,1.0,0.426,1.0,1,0.0,0.657,0.073,1.0,10,1000
17,1.0,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.191,1.0,10,1000
18,1.0,1,0.188,1.0,0.57,0.0,0,0.0,0.836,0.188,1.0,10,1000
